window,model,seed,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,period
120,QR2,0,0.11766837856363048,0.31060315719862974,0.00015674938936187784,0.01106804445460109,0.2785671854744023,0.5833333333333334,last12
120,QR2,1,0.10665880766588848,0.27953509341624067,0.0001361376703031271,0.009865488640270308,0.25051237917187547,0.6666666666666666,last12
120,QR2,2,0.10088512216212432,0.2740383594662437,0.00014210613038270534,0.010028712884070508,0.2219407936836195,0.5833333333333334,last12
120,QR2,3,0.11651687015740901,0.30480375237768426,0.00015263408447052418,0.010808779274560905,0.28402900639997347,0.75,last12
120,QR2,4,0.1156284350470715,0.286054376843145,0.00015328508274997722,0.010237105773602158,0.2727321463234361,0.6666666666666666,last12
571,AR1,0,0.09765668820423373,0.270240055991775,0.00012212944621535547,0.009642549132423128,0.19561720100048074,0.75,last12
571,AR3,0,0.08766801236560208,0.2692703990187813,0.0001115429680182939,0.009526680274370787,0.1843001980127658,0.6666666666666666,last12
571,ARMAX,0,0.0855634706833962,0.2572300578798444,0.00011003211029619193,0.009077161538233737,0.18467044011940348,0.75,last12
571,CRL,0,0.0866124474522726,0.2671345406665248,0.00011030350355573406,0.009443496925159525,0.1827823257204256,0.6666666666666666,last12
571,CRL,1,0.0874515133686131,0.2690199375164201,0.00011135359481063846,0.009517956822758107,0.18400236005960954,0.6666666666666666,last12
571,CRL,2,0.08754856236292567,0.2690561648688395,0.0001114101603456938,0.009518616598753301,0.1840994786868835,0.6666666666666666,last12
571,CRL,3,0.08740310793987048,0.2687867536035032,0.00011125003289784815,0.009508048368119994,0.18395663868322884,0.6666666666666666,last12
571,CRL,4,0.08762745890764846,0.26919773772229455,0.00011149783213376793,0.009523883677512267,0.18425153601929875,0.6666666666666666,last12
571,CRLX,0,0.10096324123221297,0.27931113554970016,0.00012629304612373255,0.009822163194933202,0.21529055095777835,0.5833333333333334,last12
571,CRLX,1,0.10012625734816094,0.2885007452315343,0.00012765229589620832,0.010220160762529941,0.2128911098135908,0.5833333333333334,last12
571,CRLX,2,0.10642478353301721,0.30262388271866364,0.00013653757182644654,0.010735848853479009,0.22705770123094657,0.5833333333333334,last12
571,CRLX,3,0.09077306999388,0.27597224660724,0.00011648521878409625,0.009781124106800376,0.19168281341142135,0.75,last12
571,CRLX,4,0.10402210789229872,0.29440315768426334,0.00013054259252007002,0.010398174464504712,0.21686725451773678,0.5833333333333334,last12
571,HAR,0,0.08551050995634102,0.25712970598308055,0.00010661054030834914,0.009057115071668533,0.17724010973369564,0.6666666666666666,last12
571,HARX,0,0.08672939537766104,0.26824702955250107,0.00011164851314712371,0.009498603229510913,0.1866787037168629,0.75,last12
571,LSTM,0,0.07764750816670503,0.25496177827048,0.00010037479144341158,0.009038756199116538,0.1541368751503565,0.6666666666666666,last12
571,LSTM,1,0.09949709180866416,0.28503142845962953,0.00012764500957776928,0.010088223824312207,0.21071298806232144,0.6666666666666666,last12
571,LSTM,2,0.10020231250907359,0.288553442540271,0.0001268426320132527,0.01007353340340855,0.22676704936520653,0.6666666666666666,last12
571,LSTM,3,0.08132813954424765,0.2589225435433323,0.00010606762473150555,0.009172691981090783,0.17553180728141426,0.6666666666666666,last12
571,LSTM,4,0.08591503031590476,0.2534291283911536,0.00010910388298292505,0.008941841193384191,0.17438780469510395,0.5833333333333334,last12
571,LSTMX,0,0.09275619535979908,0.2720129821564833,0.00011758616986807647,0.00958641048703228,0.20509191771269095,0.75,last12
571,LSTMX,1,0.09025773969604096,0.24852860136481478,0.00011452320750807446,0.008780189407866196,0.18507514398107253,0.5833333333333334,last12
